sv_000.001,Phạm Ngọc Hải,Nam,2003-07-09,2021,KHDL_TD_2020,0
sv_000.002,Lương Đức Anh,Nam,2003-07-09,2021,KHDL_TD_2020,0
sv_000.003,Trần Minh Đức,Nam,2003-07-09,2021,KHDL_TD_2020,0
sv_000.004,Nguyễn Văn Thắng,Nam,2003-07-09,2021,KHDL_TD_2020,0
sv_000.005,ABC,Nam,2003-07-09,2022,KHMTT_TD_2022,0
sv_000.006,DEF,Nữ,2003-07-09,2020,KHDL_TD_2020,0
sv_000.007,XYZ,Nữ,2003-07-09,2023,KHMTTT_2023,0
sv_000.008,Anpha,Nữ,2003-07-09,2023,KHMTTT_2023,0
sv_000.009,Beta,Nữ,2003-07-09,2023,KHMTTT_2023,0
sv_000.010,Gamma,Nữ,2003-07-09,2023,TT_2020,0
